,index_x,state,act2018_partic,act2018_comp,sat2018_partic,sat2018_erw,sat2018_math,sat2018_total,sat2017_partic,sat2017_erw,sat2017_math,sat2017_total,index_y,act2017_partic,act2017_english,act2017_math,act2017_reading,act2017_sci,act2017_comp
0,0,Alabama,1.0,19.1,0.06,595,571,1166,0.05,593,572,1165,1,1.0,18.9,18.4,19.7,19.4,19.2
1,1,Alaska,0.33,20.8,0.43,562,544,1106,0.38,547,533,1080,2,0.65,18.7,19.8,20.4,19.9,19.8
2,2,Arizona,0.66,19.2,0.29,577,572,1149,0.3,563,553,1116,3,0.62,18.6,19.8,20.1,19.8,19.7
3,3,Arkansas,1.0,19.4,0.05,592,576,1169,0.03,614,594,1208,4,1.0,18.9,19.0,19.7,19.5,19.4
4,4,California,0.27,22.7,0.6,540,536,1076,0.53,531,524,1055,5,0.31,22.5,22.7,23.1,22.2,22.8
5,5,Colorado,0.3,23.9,1.0,519,506,1025,0.11,606,595,1201,6,1.0,20.1,20.3,21.2,20.9,20.8
6,6,Connecticut,0.26,25.6,1.0,535,519,1053,1.0,530,512,1041,7,0.31,25.5,24.6,25.6,24.6,25.2
7,7,Delaware,0.17,23.8,1.0,505,492,998,1.0,503,492,996,8,0.18,24.1,23.4,24.8,23.6,24.1
8,8,District of Columbia,0.32,23.6,0.92,497,480,977,1.0,482,468,950,9,0.32,24.4,23.5,24.9,23.5,24.2
9,9,Florida,0.66,19.9,0.56,550,549,1099,0.83,520,497,1017,10,0.73,19.0,19.4,21.0,19.4,19.8
10,10,Georgia,0.53,21.4,0.7,542,522,1064,0.61,535,515,1050,11,0.55,21.0,20.9,22.0,21.3,21.4
11,11,Hawaii,0.89,18.9,0.56,480,530,1010,0.55,544,541,1085,12,0.9,17.8,19.2,19.2,19.3,19.0
12,12,Idaho,0.36,22.3,1.0,508,493,1001,0.93,513,493,1005,13,0.38,21.9,21.8,23.0,22.1,22.3
13,13,Illinois,0.43,23.9,0.99,513,506,1019,0.09,559,556,1115,14,0.93,21.0,21.2,21.6,21.3,21.4
14,14,Indiana,0.32,22.5,0.63,542,532,1074,0.63,542,532,1074,15,0.35,22.0,22.4,23.2,22.3,22.6
15,15,Iowa,0.68,21.8,0.03,634,631,1265,0.02,641,635,1275,16,0.67,21.2,21.3,22.6,22.1,21.9
16,16,Kansas,0.71,21.6,0.04,633,631,1265,0.04,632,628,1260,17,0.73,21.1,21.3,22.3,21.7,21.7
17,17,Kentucky,1.0,20.2,0.04,630,618,1248,0.04,631,616,1247,18,1.0,19.6,19.4,20.5,20.1,20.0
18,18,Louisiana,1.0,19.2,0.04,615,595,1210,0.04,611,586,1198,19,1.0,19.4,18.8,19.8,19.6,19.5
19,20,Maine,0.07,24.0,0.99,512,501,1013,0.95,513,499,1012,20,0.08,24.2,24.0,24.8,23.7,24.3
20,21,Maryland,0.31,22.5,0.76,545,535,1080,0.69,536,524,1060,21,0.28,23.3,23.1,24.2,23.2,23.6
21,22,Massachusetts,0.25,25.5,0.8,562,563,1125,0.76,555,551,1107,22,0.29,25.4,25.3,25.9,24.7,25.4
22,23,Michigan,0.22,24.2,1.0,511,499,1011,1.0,509,495,1005,23,0.29,24.1,23.7,24.5,23.8,24.1
23,24,Minnesota,0.99,21.3,0.04,643,655,1298,0.03,644,651,1295,24,1.0,20.4,21.5,21.8,21.6,21.5
24,25,Mississippi,1.0,18.6,0.03,630,606,1236,0.02,634,607,1242,25,1.0,18.2,18.1,18.8,18.8,18.6
25,26,Missouri,1.0,20.0,0.04,633,629,1262,0.03,640,631,1271,26,1.0,19.8,19.9,20.8,20.5,20.4
26,27,Montana,1.0,20.0,0.1,606,592,1198,0.1,605,591,1196,27,1.0,19.0,20.2,21.0,20.5,20.3
27,28,Nebraska,1.0,20.1,0.03,629,623,1252,0.03,629,625,1253,28,0.84,20.9,20.9,21.9,21.5,21.4
28,29,Nevada,1.0,17.7,0.23,574,566,1140,0.26,563,553,1116,29,1.0,16.3,18.0,18.1,18.2,17.8
29,30,New Hampshire,0.16,25.1,0.96,535,528,1063,0.96,532,520,1052,30,0.18,25.4,25.1,26.0,24.9,25.5
30,31,New Jersey,0.31,23.7,0.82,547,547,1094,0.7,530,526,1056,31,0.34,23.8,23.8,24.1,23.2,23.9
31,32,New Mexico,0.67,19.4,0.16,552,540,1093,0.11,577,561,1138,32,0.66,18.6,19.4,20.4,20.0,19.7
32,33,New York,0.27,24.5,0.79,534,534,1068,0.67,528,523,1052,33,0.31,23.8,24.0,24.6,23.9,24.2
33,34,North Carolina,1.0,19.1,0.52,554,543,1098,0.49,546,535,1081,34,1.0,17.8,19.3,19.6,19.3,19.1
34,35,North Dakota,0.98,20.3,0.02,640,643,1283,0.02,635,621,1256,35,0.98,19.0,20.4,20.5,20.6,20.3
35,36,Ohio,1.0,20.3,0.18,552,547,1099,0.12,578,570,1149,36,0.75,21.2,21.6,22.5,22.0,22.0
36,37,Oklahoma,1.0,19.3,0.08,541,521,1062,0.07,530,517,1047,37,1.0,18.5,18.8,20.1,19.6,19.4
37,38,Oregon,0.42,21.3,0.48,564,553,1117,0.43,560,548,1108,38,0.4,21.2,21.5,22.4,21.7,21.8
38,39,Pennsylvania,0.2,23.5,0.7,547,539,1086,0.65,540,531,1071,39,0.23,23.4,23.4,24.2,23.3,23.7
39,40,Rhode Island,0.15,24.2,0.97,513,505,1018,0.71,539,524,1062,40,0.21,24.0,23.3,24.7,23.4,24.0
40,41,South Carolina,1.0,18.3,0.55,547,523,1070,0.5,543,521,1064,41,1.0,17.5,18.6,19.1,18.9,18.7
41,42,South Dakota,0.77,21.9,0.03,622,618,1240,0.03,612,603,1216,42,0.8,20.7,21.5,22.3,22.0,21.8
42,43,Tennessee,1.0,19.6,0.06,624,607,1231,0.05,623,604,1228,43,1.0,19.5,19.2,20.1,19.9,19.8
43,44,Texas,0.45,20.7,0.66,520,512,1032,0.62,513,507,1020,44,0.45,19.5,20.7,21.1,20.9,20.7
44,45,Utah,1.0,20.4,0.04,480,530,1010,0.03,624,614,1238,45,1.0,19.5,19.9,20.8,20.6,20.3
45,46,Vermont,0.24,24.1,0.64,565,554,1120,0.6,562,551,1114,46,0.29,23.3,23.1,24.4,23.2,23.6
46,47,Virginia,0.24,23.9,0.68,567,550,1117,0.65,561,541,1102,47,0.29,23.5,23.3,24.6,23.5,23.8
47,48,Washington,0.24,22.2,0.69,543,538,1081,0.64,541,534,1075,48,0.29,20.9,21.9,22.1,22.0,21.9
48,49,West Virginia,0.65,20.3,0.28,513,486,999,0.14,558,528,1086,49,0.69,20.0,19.4,21.2,20.5,20.4
49,50,Wisconsin,1.0,20.5,0.03,641,653,1294,0.03,642,649,1291,50,1.0,19.7,20.4,20.6,20.9,20.5
50,51,Wyoming,1.0,20.0,0.03,633,625,1257,0.03,626,604,1230,51,1.0,19.4,19.8,20.8,20.6,20.2
